node	Freshwater	Gut	Hot Spring	Marine	Soda Lake	Soil
n2222	0.003170631687000092	0.0006877844002933825	0.0004428601799483507	0.0019974117185135986	0.9936097278425713	9.158417167319077e-05
n2727	0.12444442817060636	0.007958291825317194	0.0038320270269253586	0.017113745114775435	0.8458930418143588	0.0007584660480169953
n30	0.9976240887580801	0.0007147299676460377	0.00020839269517974654	0.0011777228746549324	0.00021947050242714553	5.5595202012253875e-05
n3030	0.912941009718469	0.008913514641953873	0.0026000272276927193	0.07190051015265117	0.0029127695831641072	0.0007321686760690044
g0032	0.0	1.0	0.0	0.0	0.0	0.0
n3131	0.2776598856238522	0.5466619313270034	0.010668577417334124	0.06952102197118994	0.011673767917513405	0.08381481574310706
n33	0.0007999947230032084	0.003098941909333624	0.0004517240800382393	0.9893139647723511	0.006138882521410846	0.00019649199386304695
n18	0.0026295918693301328	0.003868811289582455	0.0014455666004828888	0.8915047763321691	0.09986974343507979	0.0006815104733557096
n21	0.00030288005921053974	0.0004296887647943183	0.0001655932797996244	0.9983325557451028	0.0006899594819736279	7.932266911906137e-05
g0037	0.0	0.0	0.0	1.0	0.0	0.0
n23	0.00016713660371563726	0.0001039101356089081	3.9678803432397904e-05	0.00023226123122835864	0.9994381258431307	1.8887382883975173e-05
g0064	0.0	0.0	0.0	0.0	1.0	0.0
g0017	0.0	0.0	0.0	0.0	1.0	0.0
n28	0.9022308159780493	0.02548156641244534	0.0011304404885621364	0.007062951523839207	0.06346676996136184	0.0006274556357421667
g0023	1.0	0.0	0.0	0.0	0.0	0.0
g990069	1.0	0.0	0.0	0.0	0.0	0.0
g0025	0.0	0.0	0.0	1.0	0.0	0.0
g990079	1.0	0.0	0.0	0.0	0.0	0.0
n32	0.3289942852054756	0.5662475228399039	0.006962145547520201	0.045966940240056896	0.011091764713703075	0.04073734145334052
n34	0.11337190912765863	0.22006986761643796	0.008427020453878222	0.23141286879948833	0.017133201979733993	0.4095851320228028
n4	0.0003153970062052901	0.0006667363219228061	0.0001572590825966303	0.9978905850068144	0.0008736425295241596	9.63800529368166e-05
n1111	0.0010780290185918027	0.01524693469140145	0.000533631609372699	0.9801384181629977	0.0026700354651125412	0.00033295105252379874
n1818	0.0020466090117147863	0.0032938421986167562	0.0010000064579291988	0.30022810097617536	0.6927874689534993	0.0006439724020646832
n1919	0.0006130426900440526	0.0009664562400733463	0.0003084709925281679	0.9897003092607431	0.008226930664549296	0.00018479015206194441
g0021	0.0	0.0	0.0	1.0	0.0	0.0
g990071	0.0	0.0	0.0	1.0	0.0	0.0
n2323	4.6348425285162566e-05	6.938183781390731e-05	2.079734866335455e-05	0.0001405412473043799	0.9997092631211042	1.3668019828936826e-05
n2626	4.617817305881234e-05	6.91261577428097e-05	2.0720755796510553e-05	0.00014002345852608038	0.9997103338121353	1.3617642740468865e-05
n2828	0.8984047126150435	0.0720259314445476	0.0009806514944580656	0.006490577105415153	0.02148096371636046	0.0006171636241752374
g0054	1.0	0.0	0.0	0.0	0.0	0.0
n3232	0.15382824556804348	0.7656045038067016	0.0060732927872747065	0.040753290399299445	0.013476054587326194	0.020264612851354447
