Node,Gene,Gene_family,Duplications,Transfers,Losses,Originations,Copies,,,
314559,90,1981_MSA.fa.ufboot.ale.uml_rec,0.02,0.48,0.04,0,0.52,,,
314638,90,2056_MSA.fa.ufboot.ale.uml_rec,0.02,0.21,0.04,0.05,0.92,,,
315712,90,3091_MSA.fa.ufboot.ale.uml_rec,0.02,0.07,0.04,0.04,0.82,,,
315904,90,3308_MSA.fa.ufboot.ale.uml_rec,0.02,0.17,0.04,0,1.1,,,
314202,90,1615_MSA.fa.ufboot.ale.uml_rec,0.02,0.09,0.03,0.02,0.85,,,
318743,90,5967_MSA.fa.ufboot.ale.uml_rec,0.02,0.02,0.03,0.06,0.82,,,
313912,90,1301_MSA.fa.ufboot.ale.uml_rec,0.02,0.09,0.02,0.02,0.78,,,
314495,90,1916_MSA.fa.ufboot.ale.uml_rec,0.02,0,0.02,0,1.02,,,
315403,90,2798_MSA.fa.ufboot.ale.uml_rec,0.02,0.24,0.02,0,0.92,,,
317357,90,4704_MSA.fa.ufboot.ale.uml_rec,0.02,0.07,0.02,0.03,0.51,,,
318354,90,5630_MSA.fa.ufboot.ale.uml_rec,0.02,0.1,0.02,0.48,0.64,,,
320929,90,908_MSA.fa.ufboot.ale.uml_rec,0.02,0.88,0.02,0,1.34,,,
313964,90,1353_MSA.fa.ufboot.ale.uml_rec,0.02,0.05,0.01,0,1.03,,,
314284,90,1700_MSA.fa.ufboot.ale.uml_rec,0.02,0.14,0.01,0,1.02,,,
314552,90,1975_MSA.fa.ufboot.ale.uml_rec,0.02,0.06,0.01,0.72,1.02,,,
314632,90,2050_MSA.fa.ufboot.ale.uml_rec,0.02,0.45,0.01,0.02,1.02,,,
314672,90,2087_MSA.fa.ufboot.ale.uml_rec,0.02,0.01,0.01,0.01,1.02,,,
314851,90,2257_MSA.fa.ufboot.ale.uml_rec,0.02,0.3,0.01,0,0.89,,,
315211,90,2611_MSA.fa.ufboot.ale.uml_rec,0.02,0.55,0.01,0.02,1.02,,,
319318,90,617_MSA.fa.ufboot.ale.uml_rec,0.02,0.61,0.01,0,1.97,,,
314746,90,2158_MSA.fa.ufboot.ale.uml_rec,0.02,0.12,0,0,0.65,,,
315733,90,3076_MSA.fa.ufboot.ale.uml_rec,0.02,0.21,0,0.04,1,,,
