Node,Gene,Gene_family,Duplications,Transfers,Losses,Originations,Copies,,Loss,97
241168,80,1507_MSA.fa.ufboot.ale.uml_rec,0.15,0,0.69,0.01,1.7,,,
241186,80,1537_MSA.fa.ufboot.ale.uml_rec,0,0.45,0.19,0.02,0.91,,,
241188,80,1539_MSA.fa.ufboot.ale.uml_rec,0.12,0.44,0,0.08,1.72,,,
241190,80,1541_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1,,,
241191,80,1542_MSA.fa.ufboot.ale.uml_rec,0,0.13,0,0,1.14,,,
241193,80,1547_MSA.fa.ufboot.ale.uml_rec,0.07,0.01,0.06,0.02,1.02,,,
241195,80,1550_MSA.fa.ufboot.ale.uml_rec,0,0.06,0.01,0,0.95,,,
241196,80,1551_MSA.fa.ufboot.ale.uml_rec,0,0.07,0,0,1,,,
241197,80,1552_MSA.fa.ufboot.ale.uml_rec,0,0.35,0.01,0.01,1.43,,,
241198,80,1553_MSA.fa.ufboot.ale.uml_rec,0.02,0.8,0,0.02,1.19,,,
241199,80,1554_MSA.fa.ufboot.ale.uml_rec,0,0.25,0.36,0,1.66,,,
241200,80,1555_MSA.fa.ufboot.ale.uml_rec,0,0.05,0.01,0,0.98,,,
241202,80,1557_MSA.fa.ufboot.ale.uml_rec,0,0.03,0.03,0,0.92,,,
241204,80,1559_MSA.fa.ufboot.ale.uml_rec,0,0.54,0.02,0.05,2.36,,,
241205,80,155_MSA.fa.ufboot.ale.uml_rec,0.01,0.03,0.27,0.02,0.77,,,
241206,80,1560_MSA.fa.ufboot.ale.uml_rec,0,0.37,0.01,0.06,1.49,,,
241207,80,1561_MSA.fa.ufboot.ale.uml_rec,0.05,0.27,0.28,0.06,1.58,,,
241208,80,1562_MSA.fa.ufboot.ale.uml_rec,0.01,0.08,0.1,0,0.83,,,
241209,80,1563_MSA.fa.ufboot.ale.uml_rec,0,0.23,0.51,0,0.33,,,
241212,80,1567_MSA.fa.ufboot.ale.uml_rec,0,0.47,0,0.49,0.99,,,
241215,80,156_MSA.fa.ufboot.ale.uml_rec,0.09,0.02,0.26,0.01,1.11,,,
241219,80,1573_MSA.fa.ufboot.ale.uml_rec,0,0,0.23,0,1.01,,,
241220,80,1574_MSA.fa.ufboot.ale.uml_rec,0,0.01,0.01,0,0.94,,,
241221,80,1575_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1,,,
241224,80,1579_MSA.fa.ufboot.ale.uml_rec,0,0.17,0.13,0,1.3,,,
241225,80,1580_MSA.fa.ufboot.ale.uml_rec,0,0.07,0.01,0,1.02,,,
241234,80,1589_MSA.fa.ufboot.ale.uml_rec,0,0.35,0,0.01,1.13,,,
241238,80,1592_MSA.fa.ufboot.ale.uml_rec,0,0.31,0.05,0.01,2.04,,,
241239,80,1593_MSA.fa.ufboot.ale.uml_rec,0,0.49,0,0.27,0.88,,,
241240,80,1594_MSA.fa.ufboot.ale.uml_rec,0,0.03,0.59,0,0.04,,,
241244,80,1598_MSA.fa.ufboot.ale.uml_rec,0,0.17,0.03,0,1.07,,,
241245,80,1599_MSA.fa.ufboot.ale.uml_rec,0,0.02,0.02,0,1,,,
241247,80,1600_MSA.fa.ufboot.ale.uml_rec,0,0.08,0.05,0,1,,,
241252,80,1606_MSA.fa.ufboot.ale.uml_rec,0,0,1,0,0,,,
241253,80,1607_MSA.fa.ufboot.ale.uml_rec,0,0.26,0.25,0,1.08,,,
241254,80,1608_MSA.fa.ufboot.ale.uml_rec,0,0.01,0.01,0,1,,,
241255,80,1609_MSA.fa.ufboot.ale.uml_rec,0,0.48,0,0.01,0.57,,,
241257,80,1610_MSA.fa.ufboot.ale.uml_rec,0,0.11,0.02,0,0.91,,,
241258,80,1611_MSA.fa.ufboot.ale.uml_rec,0,0.02,0.01,0.01,0.89,,,
241259,80,1612_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1.01,,,
241262,80,1615_MSA.fa.ufboot.ale.uml_rec,0,0.07,0.01,0.01,1.07,,,
241263,80,1616_MSA.fa.ufboot.ale.uml_rec,0,0,0.01,0.01,0.96,,,
241265,80,1618_MSA.fa.ufboot.ale.uml_rec,0,0,0.03,0,0.98,,,
241277,80,1630_MSA.fa.ufboot.ale.uml_rec,0,0.95,0,0.01,1.18,,,
241278,80,1631_MSA.fa.ufboot.ale.uml_rec,0,0.04,0.02,0,1.01,,,
241279,80,1632_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1,,,
241280,80,1633_MSA.fa.ufboot.ale.uml_rec,0,0.09,0.67,0,0.13,,,
241281,80,1634_MSA.fa.ufboot.ale.uml_rec,0,0.2,0.17,0.02,0.56,,,
241283,80,1636_MSA.fa.ufboot.ale.uml_rec,0,0.02,0.06,0.02,0.98,,,
241284,80,1637_MSA.fa.ufboot.ale.uml_rec,0.05,0.09,0.06,0.1,1.04,,,
241285,80,1638_MSA.fa.ufboot.ale.uml_rec,0,0.01,0.01,0,1,,,
241286,80,1639_MSA.fa.ufboot.ale.uml_rec,0,0.33,0.01,0,1.21,,,
241287,80,1640_MSA.fa.ufboot.ale.uml_rec,0,0.02,0.03,0,1,,,
241289,80,1642_MSA.fa.ufboot.ale.uml_rec,0,0.07,0.24,0,1.06,,,
241291,80,1644_MSA.fa.ufboot.ale.uml_rec,0,0.07,0.03,0,0.92,,,
241293,80,1646_MSA.fa.ufboot.ale.uml_rec,0,0.05,0.01,0.04,0.68,,,
241297,80,1650_MSA.fa.ufboot.ale.uml_rec,0,0.03,0.15,0,0.68,,,
241301,80,1654_MSA.fa.ufboot.ale.uml_rec,0,0.06,0.13,0.01,0.6,,,
241307,80,1661_MSA.fa.ufboot.ale.uml_rec,0,0.16,0.04,0,1.06,,,
241308,80,1662_MSA.fa.ufboot.ale.uml_rec,0,0.04,0.04,0,1,,,
241309,80,1663_MSA.fa.ufboot.ale.uml_rec,0,0.03,0.01,0,1.01,,,
241312,80,1667_MSA.fa.ufboot.ale.uml_rec,0,0.02,0.01,0,1.75,,,
241319,80,1675_MSA.fa.ufboot.ale.uml_rec,0.01,0.02,0.37,0,1.79,,,
241320,80,1676_MSA.fa.ufboot.ale.uml_rec,0,0.28,0.47,0.01,1.21,,,
241327,80,1684_MSA.fa.ufboot.ale.uml_rec,0,0.01,0,0,1,,,
241330,80,1687_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1,,,
241331,80,1688_MSA.fa.ufboot.ale.uml_rec,0,0.31,0.17,0,0.88,,,
241332,80,1689_MSA.fa.ufboot.ale.uml_rec,0,0.04,0.04,0,1.93,,,
241334,80,1690_MSA.fa.ufboot.ale.uml_rec,0,0.01,0,0,1,,,
241335,80,1691_MSA.fa.ufboot.ale.uml_rec,0,0.09,0.26,0.01,1.05,,,
241341,80,1699_MSA.fa.ufboot.ale.uml_rec,0,0.06,0.03,0,1.97,,,
241350,80,1709_MSA.fa.ufboot.ale.uml_rec,0,0.34,0.02,0.08,0.59,,,
241353,80,1712_MSA.fa.ufboot.ale.uml_rec,0,0.02,0,0.04,1,,,
241355,80,1714_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1,,,
241358,80,1717_MSA.fa.ufboot.ale.uml_rec,0,0.11,0.14,0,0.62,,,
241360,80,1719_MSA.fa.ufboot.ale.uml_rec,0,0.1,0.16,0.01,1.69,,,
241373,80,1731_MSA.fa.ufboot.ale.uml_rec,0,0.87,0.11,0.1,1.81,,,
241382,80,1740_MSA.fa.ufboot.ale.uml_rec,0,0.4,0.11,0.02,1.91,,,
241386,80,1745_MSA.fa.ufboot.ale.uml_rec,0,0.12,0.05,0,1,,,
241387,80,1746_MSA.fa.ufboot.ale.uml_rec,0,0.07,0.03,0.03,1.11,,,
241388,80,1747_MSA.fa.ufboot.ale.uml_rec,0,0.05,0,0,0.99,,,
241399,80,1757_MSA.fa.ufboot.ale.uml_rec,0,0.22,0.05,0.01,1.23,,,
241400,80,1758_MSA.fa.ufboot.ale.uml_rec,0,0.73,0.09,0.18,1.64,,,
